"CASH FLOW WEMBII - MAYO 2026","","","","","","","","","","","","","","","","","","",""
"Ingresos","mes anterior","-2.184.168","","-$3.276.983","","Egresos","","","","Egresos extranjeros","","","","","","","","",""
"Cliente","Mes Anterior","Estado","$2.592.735","$712.933","","Concepto","$1.879.803","$659","","Wembii","$315.803","$332","","Entel","Smart","","","",""
"Entel Febrero 2026","","Pendiente","$1.647.735","","","Softwares","$315.803","$359","","Gsuite","$49.250","$50","","Wembii","Pro","","","",""
"Controll","","Pendiente","$145.000","","","AWS","$264.000","$300","","Crisp","$65.503","$67","","","Premium","","","",""
"Inversapiens","","Pendiente","$200.000","","","Meta ADS kiT","$0","","","Cursor RA","$19.700","$20","","","Servicio","","","",""
"Renovación operlog","","Pendiente","$600.000","","","Youtube ADS","$100.000","","","Aweber","$125.550","$135","","","Tu Negocio Digital","","","",""
"","","","","","","Bastian","$700.000","","","Chat GPT","$27.900","$30","","","","","","",""
"","","","","","","Gonzalo","$500.000","","","Claude","$27.900","$30","","","","","","",""
