"CASH FLOW WEMBII - ABRIL 2026","","","","","","","","","","","","","","","","","","",""
"INGRESOS","mes anterior","-2.184.168","","-$2.924.083","","EGRESOS","","","","EGRESOS EXTRANJEROS","","","","","","","","",""
"Cliente","Mes Anterior","Estado","$2.817.735","$1.065.833","","Concepto","$1.751.903","$627","","Wembii","$287.903","$302","","Entel","Smart","","","",""
"Entel Febrero 2026","","Pendiente","$1.647.735","","","Softwares","$287.903","$327","","Gsuite","$49.250","$50","","Wembii","Pro","","","",""
"Controll","","Pendiente","$270.000","","","AWS","$264.000","$300","","Crisp","$65.503","$67","","","Premium","","","",""
"JCG Campañas Meta Ads","","Pendiente","$200.000","","","Meta ADS kiT","$0","","","Cursor RA","$19.700","$20","","","Servicio","","","",""
"Palafito Web","","","$500.000","","","Youtube ADS","$0","","","Aweber","$125.550","$135","","","Tu Negocio Digital","","","",""
"Inversapiens","","","$200.000","","","Bastian","$700.000","","","Chat GPT","$27.900","$30","","","","","","",""
"","","","","","","Gonzalo","$500.000","","","","","","","","","","","",""
